Porcentaje de Susceptibles, Cantidad de Suceptibles, Porcentaje de Infectados, Cantidad de Infectados, Porcentaje de Recuperados, Cantidad de Recuperados, Porcentaje de Muertos, Cantidad de Muertos 
99.9,3996000,0.1,4000,0,0,0,0
99.8768,3995073,0.123175,4927,0,0,0,0
99.857,3994280,0.143,5720,0,0,0,0
99.8326,3993303,0.167425,6697,0,0,0,0
99.8059,3992237,0.194075,7763,0,0,0,0
99.7757,3991028,0.2243,8972,0,0,0,0
99.7424,3989696,0.2576,10304,0,0,0,0
99.7061,3988244,0.2939,11756,0,0,0,0
99.6685,3986740,0.3315,13260,0,0,0,0
99.6267,3985068,0.3733,14932,0,0,0,0
99.5824,3983296,0.4176,16704,0,0,0,0
99.5365,3981460,0.4635,18540,0,0,0,0
99.4874,3979498,0.51255,20502,0,0,0,0
99.4353,3977412,0.5647,22588,0,0,0,0
99.3816,3975263,0.618425,24737,0,0,0,0
99.3267,3973068,0.6733,26932,0,0,0,0
99.269,3970758,0.73105,29242,0,0,0,0
99.2075,3968301,0.792475,31699,0,0,0,0
99.1448,3965791,0.855225,34209,0,0,0,0
99.0815,3963261,0.918475,36739,0,0,0,0
99.0153,3960612,0.9847,39388,0,0,0,0
98.9472,3957889,1.05278,42111,0,0,0,0
98.8784,3955135,1.12163,44865,0,0,0,0
98.8036,3952144,1.1964,47856,0,0,0,0
98.7283,3949132,1.2717,50868,0,0,0,0
98.6514,3946057,1.34857,53943,0,0,0,0
98.5733,3942933,1.42667,57067,0,0,0,0
98.4904,3939616,1.5096,60384,0,0,0,0
98.406,3936241,1.59397,63759,0,0,0,0
98.3196,3932782,1.68045,67218,0,0,0,0
98.2306,3929225,1.76938,70775,0,0,0,0
98.1398,3925591,1.86023,74409,0,0,0,0
98.0465,3921861,1.95348,78139,0,0,0,0
97.9505,3918020,2.0495,81980,0,0,0,0
97.8495,3913982,2.15045,86018,0,0,0,0
97.7477,3909910,2.25225,90090,0,0,0,0
97.6467,3905866,2.35335,94134,0,0,0,0
97.5393,3901573,2.46068,98427,0,0,0,0
97.4306,3897224,2.5694,102776,0,0,0,0
97.3211,3892844,2.6789,107156,0,0,0,0
97.211,3888440,2.789,111560,0,0,0,0
97.0983,3883934,2.90165,116066,0,0,0,0
96.9837,3879348,3.0163,120652,0,0,0,0
96.8626,3874506,3.13735,125494,0,0,0,0
96.7398,3869592,3.2602,130408,0,0,0,0
96.6149,3864595,3.38512,135405,0,0,0,0
96.49,3859598,3.51005,140402,0,0,0,0
96.3612,3854448,3.6388,145552,0,0,0,0
96.2298,3849193,3.77018,150807,0,0,0,0
96.0994,3843975,3.90062,156025,0,0,0,0
95.9652,3838609,4.03477,161391,0,0,0,0
95.8287,3833150,4.16962,166785,0.001075,43,0.00055,22
95.6874,3827497,4.30835,172334,0.0032,128,0.001025,41
95.547,3821881,4.44618,177847,0.0051,204,0.0017,68
95.4004,3816017,4.58978,183591,0.007425,297,0.002375,95
